sell_time,sell_volume,product_sku,Chinese_name,freezer
2023-07-06 11:37:21,1,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50775
2023-07-06 12:32:25,1,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50775
2023-07-06 12:32:45,1,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50775
2023-07-06 14:29:29,1,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50934
2023-07-06 14:30:09,1,MN_BJ_BB_SGQB_92,蒙牛冰+四果奇冰棒冰23g,MNG23H50934
2023-07-06 15:49:15,2,MN_QT_XG_QZNNHT_45,蒙牛趣仔牛蒙蒙牛奶核桃巧克力口味雪糕45g,MNG23H50934
2023-07-06 15:49:15,2,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50934
2023-07-06 15:51:15,1,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50934
2023-07-06 17:32:41,2,MN_BJ_BB_HTSN_70,蒙牛冰+黄桃酸奶口味棒冰70g,MNG23H50934
2023-07-06 17:32:41,2,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50934
2023-07-06 18:21:31,1,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50934
2023-07-06 18:30:04,1,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50934
2023-07-06 18:43:11,1,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50934
2023-07-06 19:07:42,1,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50934
2023-07-07 09:29:35,1,MN_SB_XG_QKLLNLCP_56,蒙牛随变奶酪脆皮口味雪糕56g,MNG23H50771
2023-07-07 12:37:12,1,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50948
2023-07-07 13:37:12,6,MN_BJ_BB_NHSXN_85,蒙牛冰+牛磺酸口味雪泥85g,MNG23H50948
2023-07-07 13:37:12,6,MN_SB_XG_18DCT_2022_70,蒙牛随变新18度脆筒雪糕70g,MNG23H50948
2023-07-07 13:57:36,1,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50948
2023-07-07 14:02:42,1,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50948
2023-07-07 14:02:58,1,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50948
2023-07-07 14:04:45,1,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50948
2023-07-07 14:33:33,3,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50948
2023-07-07 14:33:33,3,MN_LSXQ_BQL_HCLHJL_75,蒙牛绿色心情植轻黑醋栗（黑加仑）冰淇淋75g,MNG23H50948
2023-07-07 14:33:33,3,MN_YM_XG_DBD_65,蒙牛优牧大布丁雪糕65g,MNG23H50948
2023-07-07 14:47:16,3,MN_BJ_BB_HYNM_85,蒙牛冰+海盐柠檬口味雪泥85g,MNG23H50948
2023-07-07 14:47:16,3,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50948
2023-07-07 14:47:16,3,MN_KACC_XG_CMXC_45,蒙牛酷爱纯脆草莓香草口味脆皮雪糕45g,MNG23H50948
2023-07-07 14:48:18,1,MN_XRDBL_XG_BQL_65,蒙牛夏日大菠浪菠萝口味雪糕65g,MNG23H50948
2023-07-07 14:53:18,6,MN_HMM_XG_HMG_65,蒙牛哈蜜蜜雪糕65g,MNG23H50948
2023-07-07 14:53:18,6,MN_LSXQ_XG_LSS_70,蒙牛绿色心情绿莎莎雪糕70g,MNG23H50948
2023-07-07 16:39:54,3,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50319
2023-07-07 16:39:54,3,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50319
2023-07-07 16:39:54,3,MN_XRDBL_XG_BQL_65,蒙牛夏日大菠浪菠萝口味雪糕65g,MNG23H50319
2023-07-07 16:52:36,2,MN_BJ_BB_XKQTLL_75,蒙牛冰+星空青提酪酪口味雪泥75g,MNG23H50780
2023-07-07 16:52:36,2,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50780
2023-07-07 18:06:13,1,MN_BJ_BB_LMSN_70,蒙牛冰+蓝莓酸奶口味棒冰70g,MNG23H50319
2023-07-07 20:30:38,1,MN_LSXQ_BQL_HCLHJL_75,蒙牛绿色心情植轻黑醋栗（黑加仑）冰淇淋75g,MNG23H50780
2023-07-07 20:46:58,1,MN_SB_BQL_BQJGZZCP_60,蒙牛随变榛子脆皮冰淇淋60g,MNG23H50646
2023-07-08 16:05:46,2,MN_DLSX_BQL_CBMGNR_75,蒙牛蒂兰圣雪重瓣玫瑰牛乳冰淇淋75g,MNG23H50646
2023-07-08 16:05:46,2,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50646
2023-07-08 16:06:08,2,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50646
2023-07-08 16:06:08,2,MN_DLSX_BQL_ZSMMNR_90,蒙牛蒂兰圣雪芝士莓莓口味牛乳冰淇淋90g,MNG23H50646
2023-07-08 16:06:23,1,MN_DLSX_BQL_ZSMMNR_90,蒙牛蒂兰圣雪芝士莓莓口味牛乳冰淇淋90g,MNG23H50646
2023-07-08 16:07:12,1,MN_DLSX_BQL_CLZNR_75,蒙牛蒂兰圣雪车厘子牛乳冰淇淋75g,MNG23H50646
2023-07-08 16:08:05,1,MN_SB_BQL_JJBBJTZZ_75,蒙牛随变焦糖啵啵焦糖珍珠口味冰淇淋75g,MNG23H50646
2023-07-09 08:04:31,5,MN_BJ_BB_HLGBXGNMPT_60,蒙牛冰+彩冰纷火龙果百香果柠檬葡萄口味棒冰60g,MNG23H50875
